"","Year","Month","Day","Hour","AQI","RawConc","date","YearName","Month_Name"
"354",2018,1,15,18,116,49,2018-01-15 18:00:00,"2018","January"
"355",2018,1,15,19,128,52,2018-01-15 19:00:00,"2018","January"
"356",2018,1,15,20,131,49,2018-01-15 20:00:00,"2018","January"
"357",2018,1,15,21,123,41,2018-01-15 21:00:00,"2018","January"
"358",2018,1,15,22,140,58,2018-01-15 22:00:00,"2018","January"
"359",2018,1,15,23,134,47,2018-01-15 23:00:00,"2018","January"
"360",2018,1,16,0,124,41,2018-01-16 00:00:00,"2018","January"
"361",2018,1,16,1,124,45,2018-01-16 01:00:00,"2018","January"
"362",2018,1,16,2,122,43,2018-01-16 02:00:00,"2018","January"
"363",2018,1,16,3,121,43,2018-01-16 03:00:00,"2018","January"
"364",2018,1,16,4,119,41,2018-01-16 04:00:00,"2018","January"
"365",2018,1,16,5,119,42,2018-01-16 05:00:00,"2018","January"
"366",2018,1,16,6,122,47,2018-01-16 06:00:00,"2018","January"
"367",2018,1,16,7,125,48,2018-01-16 07:00:00,"2018","January"
"368",2018,1,16,8,122,42,2018-01-16 08:00:00,"2018","January"
"369",2018,1,16,9,127,50,2018-01-16 09:00:00,"2018","January"
"370",2018,1,16,10,129,52,2018-01-16 10:00:00,"2018","January"
"371",2018,1,16,11,134,54,2018-01-16 11:00:00,"2018","January"
"372",2018,1,16,12,137,54,2018-01-16 12:00:00,"2018","January"
"373",2018,1,16,13,136,49,2018-01-16 13:00:00,"2018","January"
"374",2018,1,16,14,138,52,2018-01-16 14:00:00,"2018","January"
"375",2018,1,16,15,145,59,2018-01-16 15:00:00,"2018","January"
"376",2018,1,16,16,146,55,2018-01-16 16:00:00,"2018","January"
"377",2018,1,16,17,138,43,2018-01-16 17:00:00,"2018","January"
"378",2018,1,16,18,128,39,2018-01-16 18:00:00,"2018","January"
"379",2018,1,16,19,117,36,2018-01-16 19:00:00,"2018","January"
"380",2018,1,16,20,124,50,2018-01-16 20:00:00,"2018","January"
"381",2018,1,16,21,121,42,2018-01-16 21:00:00,"2018","January"
